txId,timestep,label,score_illicit,predicted_class,risk_level_probability,risk_percentile,priority_level,risk_rank,in_degree,out_degree,total_degree,error_type
386120617,31,licit,0.996394,illicit,high,97.87111876683892,high,4339,0,1,1,FP_licit_alerted
106364923,44,licit,0.99502146,illicit,high,97.68217933051642,high,4724,1,1,2,FP_licit_alerted
105809538,44,licit,0.99496585,illicit,high,97.67383655021126,high,4741,1,1,2,FP_licit_alerted
179039255,9,licit,0.9949032,illicit,high,97.66402151455816,high,4761,1,0,1,FP_licit_alerted
106364914,44,licit,0.9909553,illicit,high,97.28172587586924,high,5540,1,1,2,FP_licit_alerted
196269119,46,licit,0.9810414,illicit,high,96.75711222021015,high,6609,0,1,1,FP_licit_alerted
54915900,35,licit,0.97419715,illicit,high,96.52547737879658,high,7081,1,1,2,FP_licit_alerted
98544621,40,licit,0.9613957,illicit,high,96.11422738493097,high,7919,1,0,1,FP_licit_alerted
156049909,45,licit,0.95075494,illicit,high,95.80554451364046,high,8548,1,0,1,FP_licit_alerted
148546737,39,licit,0.9381631,illicit,high,95.52532524574396,high,9119,0,1,1,FP_licit_alerted
73316302,42,licit,0.93756974,illicit,high,95.51452870652552,high,9141,1,1,2,FP_licit_alerted
157579668,49,licit,0.9314377,illicit,high,95.40165579651469,high,9371,0,1,1,FP_licit_alerted
62601402,35,licit,0.9267819,illicit,high,95.31871874524585,high,9540,1,0,1,FP_licit_alerted
74195778,46,licit,0.9239363,illicit,high,95.27896785085072,high,9621,3,1,4,FP_licit_alerted
107307791,36,licit,0.923664,illicit,high,95.27406033302415,high,9631,0,1,1,FP_licit_alerted
148702152,25,licit,0.9062079,illicit,high,94.94918265290599,medium,10293,1,1,2,FP_licit_alerted
195426637,46,licit,0.897814,illicit,high,94.81520741624094,medium,10566,4,1,5,FP_licit_alerted
54704834,35,licit,0.8956814,illicit,high,94.79017907532548,medium,10617,0,2,2,FP_licit_alerted
98074796,40,licit,0.88893163,illicit,high,94.67387090283606,medium,10854,1,2,3,FP_licit_alerted
355108815,32,licit,0.8881914,illicit,high,94.65767609400841,medium,10887,1,0,1,FP_licit_alerted
49177809,44,licit,0.8829053,illicit,high,94.58259107126207,medium,11040,1,1,2,FP_licit_alerted
29994924,37,licit,0.882208,illicit,high,94.5732667873916,medium,11059,1,0,1,FP_licit_alerted
97733169,40,licit,0.8741826,illicit,high,94.44370831677045,medium,11323,1,2,3,FP_licit_alerted
87732051,46,licit,0.8733909,illicit,high,94.43094877042141,medium,11349,3,0,3,FP_licit_alerted
219544003,47,licit,0.8727646,illicit,high,94.42407824546423,medium,11363,7,0,7,FP_licit_alerted
166561528,29,licit,0.87255305,illicit,high,94.42162448655095,medium,11368,1,0,1,FP_licit_alerted
12807189,41,licit,0.8705391,illicit,high,94.3843273510691,medium,11444,1,1,2,FP_licit_alerted
73333415,42,licit,0.8667223,illicit,high,94.32396488180244,medium,11567,1,0,1,FP_licit_alerted
195429583,46,licit,0.8657037,illicit,high,94.30629781762683,medium,11603,4,1,5,FP_licit_alerted
99222756,7,licit,0.8642178,illicit,high,94.27979722136341,medium,11657,1,0,1,FP_licit_alerted
94596675,43,licit,0.8641096,illicit,high,94.27636195888482,medium,11664,2,1,3,FP_licit_alerted
195429885,46,licit,0.8575363,illicit,high,94.16692431135256,medium,11887,1,1,2,FP_licit_alerted
98653614,43,licit,0.84755725,illicit,high,94.01331900338128,medium,12200,2,1,3,FP_licit_alerted
195426930,46,licit,0.843166,illicit,high,93.9529565341146,medium,12323,3,1,4,FP_licit_alerted
163710829,29,licit,0.8421346,illicit,high,93.93578022172166,medium,12358,1,2,3,FP_licit_alerted
105856967,44,licit,0.8394637,illicit,high,93.8886680505867,medium,12454,2,1,3,FP_licit_alerted
105876162,44,licit,0.8392492,illicit,high,93.88621429167343,medium,12459,0,2,2,FP_licit_alerted
155812224,45,licit,0.839096,illicit,high,93.88228827741216,medium,12467,0,1,1,FP_licit_alerted
209705074,20,licit,0.838123,illicit,high,93.87001948284576,medium,12492,0,2,2,FP_licit_alerted
355196431,32,licit,0.83480424,illicit,high,93.81799979388425,medium,12598,1,1,2,FP_licit_alerted
218135117,47,licit,0.82908195,illicit,high,93.73064597657151,medium,12776,0,1,1,FP_licit_alerted
162526027,22,licit,0.8285545,illicit,high,93.72328469983168,medium,12791,1,1,2,FP_licit_alerted
97930880,40,licit,0.82454854,illicit,high,93.65163493956392,medium,12937,0,1,1,FP_licit_alerted
200052174,36,licit,0.8244189,illicit,high,93.64869042886798,medium,12943,2,0,2,FP_licit_alerted
2256959,46,licit,0.8154363,illicit,high,93.52698398676932,medium,13191,1,1,2,FP_licit_alerted
181988302,45,licit,0.8149002,illicit,high,93.51520594398559,medium,13215,0,1,1,FP_licit_alerted
63069519,35,licit,0.81223726,illicit,high,93.47594580137313,medium,13295,1,1,2,FP_licit_alerted
288127250,34,licit,0.8065205,illicit,high,93.39251799832164,medium,13465,0,2,2,FP_licit_alerted
72313159,42,licit,0.80628186,illicit,high,93.38859198406038,medium,13473,1,1,2,FP_licit_alerted
115213281,38,licit,0.8017302,illicit,high,93.32234049340184,medium,13608,2,1,3,FP_licit_alerted
158269141,49,licit,0.8008155,illicit,high,93.30761793992217,medium,13638,0,1,1,FP_licit_alerted
200711944,36,licit,0.8005212,illicit,high,93.30516418100889,medium,13643,3,1,4,FP_licit_alerted
99175682,42,licit,0.7923948,illicit,medium,93.18787450495414,medium,13882,3,1,4,FP_licit_alerted
156058477,45,licit,0.7917498,illicit,medium,93.17413345503978,medium,13910,1,1,2,FP_licit_alerted
70793843,42,licit,0.79148334,illicit,medium,93.16971668899588,medium,13919,0,2,2,FP_licit_alerted
105784918,44,licit,0.7912571,illicit,medium,93.16579067473462,medium,13927,0,1,1,FP_licit_alerted
